example,domain,duration_seconds,reference_available,kind,si_sdri_db,output_si_sdr_db,pesq_wb,estoi,target_gain_db,suppression_db
device-switch,device,29.6762,False,no_reference,,,,,,
device-hold,device,14,False,no_reference,,,,,,
simulated-one-interferer,simulated,6,True,active,15.13,19.39,3.88,0.98,-0.26,
simulated-target-only,simulated,6,True,target_only,5.29,25.38,4.31,0.99,-0.04,
simulated-no-target,simulated,6,True,no_target,,,,,,80.03
simulated-noise,simulated,6,True,active,21.92,18.59,3.82,0.97,-1.56,
simulated-speech-and-noise,simulated,6,True,active,19.14,25.51,3.77,0.98,-0.15,
simulated-two-interferers,simulated,6,True,active,10.63,17.89,3.67,0.94,0.19,
recorded-target-only,recorded,10,True,target_only,2.69,13.19,3.68,0.98,1.36,
recorded-no-target,recorded,10,True,no_target,,,,,,72.37
recorded-noise,recorded,6,True,active,6.66,12.46,2.76,0.85,2.24,
recorded-speech-and-noise,recorded,6,True,active,7.49,14.72,2.55,0.84,1.79,
recorded-two-interferers,recorded,6,True,active,6.45,12.17,2.80,0.97,0.95,
